Start to record CBF use ratio, in 2026.02.28 20: 15: 38

72:  0.7324%, max:  5.0328e-01, min:  0.0000e+00, mean:  1.1900e-03, non_zero_mean:  1.4686e-03, 50%:  6.8545e-06, 75%:  1.1359e-03, 90%:  1.8837e-03, 95%:  2.2474e-03, 99%:  2.8813e-03
73:  0.2991%, max:  1.9136e-01, min:  0.0000e+00, mean:  7.2581e-04, non_zero_mean:  8.9696e-04, 50%:  5.9307e-06, 75%:  1.0904e-03, 90%:  1.8303e-03, 95%:  2.2134e-03, 99%:  2.7274e-03
74:  0.6287%, max:  4.7675e-01, min:  0.0000e+00, mean:  1.0989e-03, non_zero_mean:  1.3655e-03, 50%:  6.6180e-06, 75%:  1.0337e-03, 90%:  1.8110e-03, 95%:  2.1694e-03, 99%:  2.7970e-03
75:  0.5981%, max:  5.1913e-01, min:  0.0000e+00, mean:  1.0875e-03, non_zero_mean:  1.3503e-03, 50%:  6.0350e-06, 75%:  1.0188e-03, 90%:  1.7891e-03, 95%:  2.1699e-03, 99%:  2.7577e-03
76:  0.3967%, max:  3.0271e-01, min:  0.0000e+00, mean:  8.0767e-04, non_zero_mean:  1.0142e-03, 50%:  4.8131e-06, 75%:  9.7609e-04, 90%:  1.7976e-03, 95%:  2.2079e-03, 99%:  2.7522e-03
77:  0.3784%, max:  5.2524e-01, min:  0.0000e+00, mean:  9.4397e-04, non_zero_mean:  1.1757e-03, 50%:  5.3048e-06, 75%:  9.4292e-04, 90%:  1.7553e-03, 95%:  2.1273e-03, 99%:  2.6799e-03
78:  2.2888%, max:  5.2062e-01, min:  0.0000e+00, mean:  4.8029e-03, non_zero_mean:  5.8966e-03, 50%:  6.4373e-06, 75%:  9.8141e-04, 90%:  1.8807e-03, 95%:  2.4010e-03, 99%:  2.0567e-01
79:  1.7334%, max:  4.3533e-01, min:  0.0000e+00, mean:  2.9082e-03, non_zero_mean:  3.6555e-03, 50%:  4.5300e-06, 75%:  8.5677e-04, 90%:  1.8532e-03, 95%:  2.3516e-03, 99%:  8.6671e-02
80:  1.8005%, max:  6.1663e-01, min:  0.0000e+00, mean:  3.3709e-03, non_zero_mean:  4.2100e-03, 50%:  4.6492e-06, 75%:  7.9954e-04, 90%:  1.7814e-03, 95%:  2.2065e-03, 99%:  1.1063e-01
81:  2.2644%, max:  5.3481e-01, min:  0.0000e+00, mean:  3.3309e-03, non_zero_mean:  4.1699e-03, 50%:  4.4573e-06, 75%:  8.2169e-04, 90%:  1.7864e-03, 95%:  2.3403e-03, 99%:  1.1734e-01
82:  2.6611%, max:  5.5333e-01, min:  0.0000e+00, mean:  4.3861e-03, non_zero_mean:  5.3759e-03, 50%:  5.2657e-06, 75%:  8.3318e-04, 90%:  1.7822e-03, 95%:  2.3582e-03, 99%:  1.6373e-01
83:  1.6235%, max:  5.1185e-01, min:  0.0000e+00, mean:  2.1655e-03, non_zero_mean:  2.7207e-03, 50%:  4.2804e-06, 75%:  6.2333e-04, 90%:  1.6699e-03, 95%:  2.1587e-03, 99%:  6.8851e-02
84:  4.0771%, max:  5.1166e-01, min:  0.0000e+00, mean:  7.6913e-03, non_zero_mean:  9.4569e-03, 50%:  4.8056e-06, 75%:  8.3854e-04, 90%:  2.0226e-03, 95%:  2.7277e-03, 99%:  2.9714e-01
85:  2.5146%, max:  5.1924e-01, min:  0.0000e+00, mean:  4.0319e-03, non_zero_mean:  4.9429e-03, 50%:  4.9472e-06, 75%:  7.9605e-04, 90%:  1.8976e-03, 95%:  2.4638e-03, 99%:  1.5058e-01
86:  4.5288%, max:  5.9301e-01, min:  0.0000e+00, mean:  7.2453e-03, non_zero_mean:  8.5314e-03, 50%:  7.4403e-06, 75%:  1.0120e-03, 90%:  2.1501e-03, 95%:  2.9472e-03, 99%:  2.2584e-01
87:  2.3743%, max:  5.2236e-01, min:  0.0000e+00, mean:  4.1156e-03, non_zero_mean:  5.1370e-03, 50%:  4.4107e-06, 75%:  7.5649e-04, 90%:  1.8480e-03, 95%:  2.3585e-03, 99%:  1.5741e-01
88:  4.1870%, max:  5.1571e-01, min:  0.0000e+00, mean:  6.6040e-03, non_zero_mean:  7.9424e-03, 50%:  5.8673e-06, 75%:  8.9764e-04, 90%:  1.9414e-03, 95%:  2.7314e-03, 99%:  2.2000e-01
89:  3.1067%, max:  5.3770e-01, min:  0.0000e+00, mean:  5.6165e-03, non_zero_mean:  6.8867e-03, 50%:  5.9605e-06, 75%:  8.6146e-04, 90%:  1.8806e-03, 95%:  2.4999e-03, 99%:  2.1713e-01
90:  4.7974%, max:  6.2938e-01, min:  0.0000e+00, mean:  7.9832e-03, non_zero_mean:  9.4821e-03, 50%:  9.6262e-06, 75%:  1.0277e-03, 90%:  1.9934e-03, 95%:  3.0380e-03, 99%:  2.5562e-01
91:  7.0007%, max:  6.0669e-01, min:  0.0000e+00, mean:  1.2877e-02, non_zero_mean:  1.4999e-02, 50%:  1.3098e-05, 75%:  1.1884e-03, 90%:  2.3590e-03, 95%:  8.4397e-02, 99%:  3.3002e-01
92:  7.3059%, max:  5.8319e-01, min:  0.0000e+00, mean:  1.2298e-02, non_zero_mean:  1.4464e-02, 50%:  9.2387e-06, 75%:  1.1046e-03, 90%:  2.3726e-03, 95%:  8.8658e-02, 99%:  3.1151e-01
93:  7.3181%, max:  6.0644e-01, min:  0.0000e+00, mean:  1.2985e-02, non_zero_mean:  1.5391e-02, 50%:  8.0466e-06, 75%:  1.1326e-03, 90%:  2.3931e-03, 95%:  9.7696e-02, 99%:  3.0909e-01
94:  7.5012%, max:  5.9617e-01, min:  0.0000e+00, mean:  1.3816e-02, non_zero_mean:  1.6329e-02, 50%:  8.7917e-06, 75%:  1.1861e-03, 90%:  2.4092e-03, 95%:  1.0577e-01, 99%:  3.2836e-01
95:  6.6406%, max:  5.9892e-01, min:  0.0000e+00, mean:  1.2890e-02, non_zero_mean:  1.5457e-02, 50%:  7.8231e-06, 75%:  1.0509e-03, 90%:  2.3076e-03, 95%:  8.7003e-02, 99%:  3.1983e-01
96:  6.3232%, max:  5.9754e-01, min:  0.0000e+00, mean:  1.1059e-02, non_zero_mean:  1.3420e-02, 50%:  5.8524e-06, 75%:  9.1074e-04, 90%:  2.0944e-03, 95%:  6.4543e-02, 99%:  3.0488e-01
97:  6.1829%, max:  5.7006e-01, min:  0.0000e+00, mean:  1.1467e-02, non_zero_mean:  1.4131e-02, 50%:  4.4256e-06, 75%:  6.8017e-04, 90%:  2.1075e-03, 95%:  5.7710e-02, 99%:  3.1990e-01
98:  5.2551%, max:  5.8967e-01, min:  0.0000e+00, mean:  9.4662e-03, non_zero_mean:  1.1673e-02, 50%:  4.5896e-06, 75%:  6.4523e-04, 90%:  1.9448e-03, 95%:  2.1957e-02, 99%:  2.9100e-01
99:  6.5430%, max:  6.2323e-01, min:  0.0000e+00, mean:  1.2280e-02, non_zero_mean:  1.4824e-02, 50%:  4.8876e-06, 75%:  8.3559e-04, 90%:  2.1764e-03, 95%:  7.6046e-02, 99%:  3.2309e-01
100:  4.2419%, max:  5.2736e-01, min:  0.0000e+00, mean:  7.2897e-03, non_zero_mean:  9.0782e-03, 50%:  3.8147e-06, 75%:  5.3677e-04, 90%:  1.8828e-03, 95%:  2.6810e-03, 99%:  2.5314e-01
101:  4.8218%, max:  6.0957e-01, min:  0.0000e+00, mean:  8.6686e-03, non_zero_mean:  1.1069e-02, 50%:  3.3975e-06, 75%:  5.3561e-04, 90%:  1.8042e-03, 95%:  3.2123e-03, 99%:  2.6838e-01
102:  5.0659%, max:  5.7115e-01, min:  0.0000e+00, mean:  9.8938e-03, non_zero_mean:  1.2271e-02, 50%:  3.9339e-06, 75%:  5.4751e-04, 90%:  1.9656e-03, 95%:  1.3309e-02, 99%:  2.9646e-01
